target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
36105,2022,7,9,"36087,25007,25019,25001,36061,36079,44005,09007,34021",458156.7303635433,1958526.065637595
42037,2022,7,26,"51735,42087,42043,51775,51660,18159,18157,42077,42095,51167,51610,51520,18109,18119,42093,51678,51540,51600,42025,51720,51740,54009,39005,18171,18021,51595",368214.78886321926,441135.93395068444
18027,2025,6,91,"39173,21203,21181,21109,42049,51530,21069,21199,21103,21129,18129,39123,39063,21239,42093,39101,21025,39043,51830,39005,39095,39153,21197,39169,42023,21053,39075,21039,39083,21175,21173,21017,21225,21195,21165,21119,51610,18103,21147,21013,51670,51678,21033,39133,21095,39117,21131,39077,42039,21063,51580,21097,39171,21205,18143,39143,21201,51685,18025,21125,18023,21011,39099,21051,39033,21223,39055,18131,21065,21231,21149,39085,24029,39093,21139,54073,21159,21071,39147,21049,39007,21193,18123,39151,21189,51630,39103,21237,21153,21235,24035",386765.4205412777,348606.2333068679
21015,2022,5,24,"51735,42087,42043,51775,18065,51660,18159,18157,42077,42095,51167,51610,51520,18109,42093,51678,51540,51600,51720,42025,51740,54009,39005,51595",464291.2098633358,442489.168022374
54095,2024,1,25,"39173,39169,18111,18149,51735,39069,39039,21107,39085,51530,51660,51036,51685,21201,39007,39151,21189,39123,51520,51670,54093,39103,18181,51720,21061",207971.03273621225,343755.3624503303
17039,2023,4,80,"27153,38081,27117,19059,38083,27009,17023,27151,46067,46083,31173,19165,19079,19115,38003,29135,31043,38095,46045,27161,38029,27095,38039,31003,19141,27159,20209,29003,17033,31091,19021,31159,27041,19145,31147,27173,19119,29069,38027,46101,19167,17159,17069,38019,17175,17173,27013,19133,19143,46099,17051,46125,17147,27133,46015,17035,29123,46135,19035,29186,19195,19189,27011,38063,46079,46005,46023,27081,19093,27063,46127,46035,46087,46027,29155,29221,19129,19149,27105,46011",229315.87099681864,371983.34243304934
13183,2025,8,69,"28043,28003,13163,28041,13053,47137,37005,01131,12087,28113,28069,45023,47159,47067,13309,47173,01035,28147,28111,01013,13037,13235,13283,13319,13093,28129,13219,01085,13237,13173,13175,28019,13221,28083,28039,13301,28023,47069,13281,13125,28061,12067,12041,13023,12049,13259,37143,12015,13197,13307,37187,13193,13315,37011,28065,28051,12105,12093,13271,13061,12075,13091,28139,37141,37113,13209,13109,01023,12007",342112.107888251,372686.0697949452
47119,2025,5,61,"28043,13163,28041,13053,47137,37005,01131,28069,45023,47159,47067,13309,47173,28111,28147,13235,13283,13319,13093,28129,13219,13237,13175,28019,13221,28083,28039,13301,28023,47069,13281,13125,28061,12067,12041,13023,12049,13259,37143,12015,13197,13307,37187,13193,13315,37011,28065,28051,12105,12093,13271,13061,12075,13091,28139,37141,37113,13209,13109,01023,12007",603379.7160771625,361916.0072044955
24047,2020,12,19,"51735,18009,21133,21027,18115,21039,21159,51685,21201,21119,51610,21143,51520,51600,51720,18131,21055,21163,21063",475620.110829233,335897.16726236115
31143,2021,7,58,"29069,29179,19167,27025,17079,27023,27073,17175,19041,29073,27153,27029,46079,27165,46005,19143,17027,17083,27083,19141,46023,27081,19059,27159,19193,38083,27009,27149,19093,19021,27135,46067,27063,46077,17181,27041,27019,46035,46087,27133,27067,29103,46027,31051,27115,29089,46009,31043,27127,27033,29107,29197,27101,46135,17165,46011,27163,19035",411694.0556584078,360620.51949757274
